Refrigerant,Molecular weight,Predicted crit temp /K,Acentric factor,No. of C,No. of F,No. of C=C,Temp /K,Liquid spec vol /[m^3/mol],Vapour spec vol /[m^3/mol],Vapour pressure /Pa,Dipole moment,Polarisability,Predicted crit pressure /Pa
R 1123,82.02,346.7339612,0.238,2,3,1,308.9449365,8.28E-05,0.000811691,2275120.331,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,309.9896515,8.33E-05,0.000787817,2332795.14,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,311.0281821,8.38E-05,0.000764712,2391231.806,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,312.060565,8.43E-05,0.00074234,2450429.952,1.635,20.369,5253881.331
R 1132 (E),64.03,394.0776877,0.21,2,2,1,197.0388439,5.11E-05,0.216691319,7540.22939,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,199.1383651,5.12E-05,0.187631596,8797.657902,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,201.2254579,5.14E-05,0.163186672,10217.5159,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,203.3001959,5.16E-05,0.142526253,11814.1729,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,205.3626521,5.18E-05,0.124985062,13602.56,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,207.4128993,5.19E-05,0.110027207,15598.13727,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,209.4510098,5.21E-05,0.097218812,17816.8586,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,211.4770554,5.23E-05,0.086206869,20275.13446,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,213.4911075,5.24E-05,0.076702807,22989.79274,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,215.4932371,5.26E-05,0.068469651,25978.03826,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,217.4835149,5.28E-05,0.061311941,29257.41111,0,19.949,6610110.614
R 1132 (E),64.03,394.0776877,0.21,2,2,1,219.4620108,5.30E-05,0.055067779,32845.74427,0,19.949,6610110.614
